author,tag,quote
b'Jane Austen',b'elizabeth-bennet',"b'\xe2\x80\x9cThere are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.\xe2\x80\x9d'"
b'C.S. Lewis',b'age',b'\xe2\x80\x9cSome day you will be old enough to start reading fairy tales again.\xe2\x80\x9d'
b'C.S. Lewis',b'god',b'\xe2\x80\x9cWe are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.\xe2\x80\x9d'
b'Mark Twain',b'death',b'\xe2\x80\x9cThe fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.\xe2\x80\x9d'
b'Mark Twain',b'misattributed-mark-twain',b'\xe2\x80\x9cA lie can travel half way around the world while the truth is putting on its shoes.\xe2\x80\x9d'
b'C.S. Lewis',b'christianity',"b'\xe2\x80\x9cI believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.\xe2\x80\x9d'"
b'J.K. Rowling',b'truth',"b'\xe2\x80\x9cThe truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.\xe2\x80\x9d'"
b'Jimi Hendrix',b'death',"b""\xe2\x80\x9cI'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.\xe2\x80\x9d"""
b'J.M. Barrie',b'adventure',b'\xe2\x80\x9cTo die will be an awfully big adventure.\xe2\x80\x9d'
b'E.E. Cummings',b'courage',b'\xe2\x80\x9cIt takes courage to grow up and become who you really are.\xe2\x80\x9d'
b'Khaled Hosseini',b'life',b'\xe2\x80\x9cBut better to get hurt by the truth than comforted with a lie.\xe2\x80\x9d'
b'Harper Lee',b'better-life-empathy',b'\xe2\x80\x9cYou never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.\xe2\x80\x9d'
"b""Madeleine L'Engle""",b'books',"b'\xe2\x80\x9cYou have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.\xe2\x80\x9d'"
b'Mark Twain',b'truth',b'\xe2\x80\x9cNever tell the truth to people who are not worthy of it.\xe2\x80\x9d'
b'Dr. Seuss',b'inspirational',"b""\xe2\x80\x9cA person's a person, no matter how small.\xe2\x80\x9d"""
b'George R.R. Martin',b'books',"b'\xe2\x80\x9c... a mind needs books as a sword needs a whetstone, if it is to keep its edge.\xe2\x80\x9d'"
